chapter,title,mort-total-US04,mort-male-US04,mort-female-US04
1,Sepsis due to Staphylococcus aureus,4423,2168,2255
1,Sepsis due to other specified staphylococcus,149,73,76
1,Sepsis due to unspecified staphylococcus,4469,2225,2244
1,Sepsis due to Haemophilus influenzae,49,17,32
1,Sepsis due to anaerobes,454,209,245
1,Sepsis due to other Gram-negative organisms,4553,2144,2409
1,Other specified sepsis,834,393,441
1,"Sepsis, unspecified",176811,77226,99585
1,Actinomycosis,,,
1,Pulmonary actinomycosis,23,13,10
1,Abdominal actinomycosis,0,0,0
1,Cervicofacial actinomycosis,0,0,0
1,Actinomycotic sepsis,12,5,7
1,Other forms of actinomycosis,5,4,1
1,"Actinomycosis, unspecified",11,3,8
1,Nocardiosis,,,
1,Pulmonary nocardiosis,218,119,99
1,Cutaneous nocardiosis,1,1,0
1,Other forms of nocardiosis,33,14,19
1,"Nocardiosis, unspecified",105,54,51
1,Bartonellosis,,,
1,Systemic bartonellosis,0,0,0
1,Cutaneous and mucocutaneous bartonellosis,0,0,0
1,Other forms of bartonellosis,1,1,0
1,"Bartonellosis, unspecified",1,0,1
1,Erysipelas,12,3,9
1,"Other bacterial diseases, not elsewhere classified",,,
1,Gas gangrene,142,81,61
1,Legionnaires disease,464,281,183
1,Nonpneumonic Legionnaires disease [Pontiac fever],1,1,0
1,Toxic shock syndrome,424,188,236
1,Brazilian purpuric fever,0,0,0
1,Other specified bacterial diseases,73,41,32
1,Bacterial infection of unspecified site,,,
1,"Staphylococcal infection, unspecified site",2019,1060,959
1,"Streptococcal infection, unspecified site",538,270,268
1,"Haemophilus influenzae infection, unspecified site",46,24,22
1,"Mycoplasma infection, unspecified site",11,4,7
1,Other bacterial infections of unspecified site,733,330,403
1,"Bacterial infection, unspecified",2558,1222,1336
1,Congenital syphilis,,,
1,"Early congenital syphilis, symptomatic",1,0,1
1,"Early congenital syphilis, latent",0,0,0
1,"Early congenital syphilis, unspecified",2,2,0
1,Late congenital syphilitic oculopathy,0,0,0
1,Late congenital neurosyphilis [juvenile neurosyphilis],3,2,1
1,"Other late congenital syphilis, symptomatic",3,1,2
1,"Late congenital syphilis, latent",0,0,0
1,"Late congenital syphilis, unspecified",1,1,0
1,"Congenital syphilis, unspecified",9,2,7
1,Early syphilis,,,
1,Primary genital syphilis,0,0,0
1,Primary anal syphilis,0,0,0
1,Primary syphilis of other sites,0,0,0
1,Secondary syphilis of skin and mucous membranes,1,1,0
1,Other secondary syphilis,0,0,0
1,"Early syphilis, latent",0,0,0
1,"Early syphilis, unspecified",0,0,0
1,Late syphilis,,,
1,Cardiovascular syphilis,21,13,8
1,Symptomatic neurosyphilis,38,13,25
1,Asymptomatic neurosyphilis,0,0,0
1,"Neurosyphilis, unspecified",99,62,37
1,Other symptomatic late syphilis,4,3,1
1,"Late syphilis, latent",1,0,1
1,"Late syphilis, unspecified",20,6,14
1,Other and unspecified syphilis,,,
1,"Latent syphilis, unspecified as early or late",7,2,5
1,"Syphilis, unspecified",18,12,6
1,Gonococcal infection,,,
1,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,0,0,0
1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,0,0,0
1,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,1,0,1
1,Gonococcal infection of eye,0,0,0
1,Gonococcal infection of musculoskeletal system,0,0,0
1,Gonococcal pharyngitis,1,1,0
1,Gonococcal infection of anus and rectum,0,0,0
1,Other gonococcal infections,38,14,24
1,"Gonococcal infection, unspecified",3,1,2
1,Chlamydial lymphogranuloma (venereum),0,0,0
1,Other sexually transmitted chlamydial diseases,,,
1,Chlamydial infection of lower genitourinary tract,0,0,0
1,Chlamydial infection of pelviperitoneum and other genitourinary organs,0,0,0
1,"Chlamydial infection of genitourinary tract, unspecified",0,0,0
1,Chlamydial infection of anus and rectum,0,0,0
1,Chlamydial infection of pharynx,0,0,0
1,Sexually transmitted chlamydial infection of other sites,0,0,0
1,Chancroid,0,0,0
1,Granuloma inguinale,1,1,0
1,Trichomoniasis,,,
1,Urogenital trichomoniasis,0,0,0
1,Trichomoniasis of other sites,0,0,0
1,"Trichomoniasis, unspecified",0,0,0
1,Anogenital herpesviral [herpes simplex] infection,,,
1,Herpesviral infection of genitalia and urogenital tract,0,0,0
1,Herpesviral infection of perianal skin and rectum,0,0,0
1,"Anogenital herpesviral infection, unspecified",0,0,0
1,"Other predominantly sexually transmitted diseases, not elsewhere classified",,,
1,Anogenital (venereal) warts,4,4,0
1,Other specified predominantly sexually transmitted diseases,0,0,0
1,Unspecified sexually transmitted disease,25,12,13
1,Nonvenereal syphilis,0,0,0
1,Yaws,,,
1,Initial lesions of yaws,0,0,0
1,Multiple papillomata and wet crab yaws,0,0,0
1,Other early skin lesions of yaws,0,0,0
1,Hyperkeratosis of yaws,0,0,0
1,Gummata and ulcers of yaws,0,0,0
1,Gangosa,0,0,0
1,Bone and joint lesions of yaws,0,0,0
1,Other manifestations of yaws,0,0,0
1,Latent yaws,0,0,0
1,"Yaws, unspecified",0,0,0
1,Pinta [carate],,,
1,Primary lesions of pinta,0,0,0
1,Intermediate lesions of pinta,0,0,0
1,Late lesions of pinta,0,0,0
1,Mixed lesions of pinta,0,0,0
1,"Pinta, unspecified",0,0,0
1,Relapsing fevers,,,
1,Louse-borne relapsing fever,0,0,0
1,Tick-borne relapsing fever,0,0,0
1,"Relapsing fever, unspecified",0,0,0
1,Other spirochaetal infections,,,
1,Necrotizing ulcerative stomatitis,1,1,0
1,Other Vincent infections,1,1,0
1,Lyme disease,30,17,13
1,Other specified spirochaetal infections,0,0,0
1,"Spirochaetal infection, unspecified",1,1,0
1,Chlamydia psittaci infection,0,0,0
1,Trachoma,,,
1,Initial stage of trachoma,0,0,0
1,Active stage of trachoma,0,0,0
1,"Trachoma, unspecified",0,0,0
1,Other diseases caused by chlamydiae,,,
1,Chlamydial conjunctivitis,2,0,2
1,Other chlamydial diseases,1,0,1
1,"Chlamydial infection, unspecified",1,1,0
1,Typhus fever,,,
1,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,0,0,0
1,Recrudescent typhus [Brill disease],0,0,0
1,Typhus fever due to Rickettsia typhi,1,0,1
1,Typhus fever due to Rickettsia tsutsugamushi,0,0,0
1,"Typhus fever, unspecified",1,1,0
1,Spotted fever [tick-borne rickettsioses],,,
1,Spotted fever due to Rickettsia rickettsii,37,22,15
1,Spotted fever due to Rickettsia conorii,0,0,0
1,Spotted fever due to Rickettsia sibirica,0,0,0
1,Spotted fever due to Rickettsia australis,0,0,0
1,Other spotted fevers,7,4,3
1,"Spotted fever, unspecified",0,0,0
1,Q fever,2,1,1
1,Other rickettsioses,,,
1,Trench fever,0,0,0
1,Rickettsialpox due to Rickettsia akari,0,0,0
1,Other specified rickettsioses,4,3,1
1,"Rickettsiosis, unspecified",6,2,4
1,Acute poliomyelitis,,,
1,"Acute paralytic poliomyelitis, vaccine-associated",0,0,0
1,"Acute paralytic poliomyelitis, wild virus, imported",0,0,0
1,"Acute paralytic poliomyelitis, wild virus, indigenous",0,0,0
1,"Acute paralytic poliomyelitis, other and unspecified",0,0,0
1,Acute nonparalytic poliomyelitis,0,0,0
1,"Acute poliomyelitis, unspecified",0,0,0
1,Atypical virus infections of central nervous system,,,
1,Creutzfeldt-Jakob disease,1331,627,704
1,Subacute sclerosing panencephalitis,18,12,6
1,Progressive multifocal leukoencephalopathy,155,86,69
1,Other atypical virus infections of central nervous system,0,0,0
1,"Atypical virus infection of central nervous system, unspecified",5,3,2
1,Rabies,,,
1,Sylvatic rabies,0,0,0
1,Urban rabies,0,0,0
1,"Rabies, unspecified",11,11,0
1,Mosquito-borne viral encephalitis,,,
1,Japanese encephalitis,1,0,1
1,Western equine encephalitis,1,1,0
1,Eastern equine encephalitis,5,4,1
1,St Louis encephalitis,12,9,3
1,Australian encephalitis,2,1,1
1,California encephalitis,1,1,0
1,Rocio virus disease,0,0,0
1,Other mosquito-borne viral encephalitis,14,8,6
1,"Mosquito-borne viral encephalitis, unspecified",4,4,0
1,Tick-borne viral encephalitis,,,
1,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],0,0,0
1,Central European tick-borne encephalitis,0,0,0
1,Other tick-borne viral encephalitis,0,0,0
1,"Tick-borne viral encephalitis, unspecified",0,0,0
1,"Other viral encephalitis, not elsewhere classified",,,
1,Enteroviral encephalitis,3,1,2
1,Adenoviral encephalitis,0,0,0
1,"Arthropod-borne viral encephalitis, unspecified",1,1,0
1,Other specified viral encephalitis,18,8,10
1,Unspecified viral encephalitis,681,349,332
1,Viral meningitis,,,
1,Enteroviral meningitis,4,2,2
1,Adenoviral meningitis,4,4,0
1,Lymphocytic choriomeningitis,38,17,21
1,Other viral meningitis,2,0,2
1,"Viral meningitis, unspecified",182,83,99
1,"Other viral infections of central nervous system, not elsewhere classified",,,
1,Enteroviral exanthematous fever [Boston exanthem],0,0,0
1,Epidemic vertigo,0,0,0
1,Other specified viral infections of central nervous system,0,0,0
1,Unspecified viral infection of central nervous system,57,30,27
1,Dengue fever [classical dengue],4,2,2
1,Dengue haemorrhagic fever,1,1,0
1,Other mosquito-borne viral fevers,,,
1,Chikungunya virus disease,0,0,0
1,O'nyong-nyong fever,0,0,0
1,Venezuelan equine fever,1,0,1
1,West Nile virus infection,433,272,161
1,Rift Valley fever,0,0,0
1,Other specified mosquito-borne viral fevers,0,0,0
1,"Mosquito-borne viral fever, unspecified",0,0,0
1,"Other arthropod-borne viral fevers, not elsewhere classified",,,
1,Oropouche virus disease,0,0,0
1,Sandfly fever,0,0,0
1,Colorado tick fever,0,0,0
1,Other specified arthropod-borne viral fevers,4,3,1
1,Unspecified arthropod-borne viral fever,1,0,1
1,Yellow fever,,,
1,Sylvatic yellow fever,0,0,0
1,Urban yellow fever,0,0,0
1,"Yellow fever, unspecified",3,3,0
1,Arenaviral haemorrhagic fever,,,
1,Junin haemorrhagic fever,0,0,0
1,Machupo haemorrhagic fever,0,0,0
1,Lassa fever,1,1,0
1,Other arenaviral haemorrhagic fevers,0,0,0
1,"Arenaviral haemorrhagic fever, unspecified",0,0,0
1,"Other viral haemorrhagic fevers, not elsewhere classified",,,
1,Crimean-Congo haemorrhagic fever,0,0,0
1,Omsk haemorrhagic fever,0,0,0
1,Kyasanur Forest disease,0,0,0
1,Marburg virus disease,1,0,1
1,Ebola virus disease,0,0,0
1,Haemorrhagic fever with renal syndrome,1,0,1
1,Other specified viral haemorrhagic fevers,0,0,0
1,Unspecified viral haemorrhagic fever,0,0,0
1,Herpesviral [herpes simplex] infections,,,
1,Eczema herpeticum,0,0,0
1,Herpesviral vesicular dermatitis,7,3,4
1,Herpesviral gingivostomatitis and pharyngotonsillitis,5,1,4
1,Herpesviral meningitis,19,10,9
1,Herpesviral encephalitis,585,245,340
1,Herpesviral ocular disease,0,0,0
1,Disseminated herpesviral disease,79,35,44
1,Other forms of herpesviral infection,81,35,46
1,"Herpesviral infection, unspecified",250,121,129
1,Varicella [chickenpox],,,
1,Varicella meningitis,3,2,1
1,Varicella encephalitis,22,12,10
1,Varicella pneumonia,87,49,38
1,Varicella with other complications,7,2,5
1,Varicella without complication,66,40,26
1,Zoster [herpes zoster],,,
1,Zoster encephalitis,81,34,47
1,Zoster meningitis,7,2,5
1,Zoster with other nervous system involvement,118,44,74
1,Zoster ocular disease,18,7,11
1,Disseminated zoster,109,53,56
1,Zoster with other complications,10,2,8
1,Zoster without complication,501,148,353
1,Smallpox,0,0,0
1,Monkeypox,0,0,0
1,Measles,,,
1,Measles complicated by encephalitis,1,1,0
1,Measles complicated by meningitis,0,0,0
1,Measles complicated by pneumonia,2,0,2
1,Measles complicated by otitis media,0,0,0
1,Measles with intestinal complications,0,0,0
1,Measles with other complications,0,0,0
1,Measles without complication,2,1,1
1,Rubella [German measles],,,
1,Rubella with neurological complications,1,1,0
1,Rubella with other complications,1,1,0
1,Rubella without complication,1,1,0
1,Viral warts,2,0,2
1,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",,,
1,Other orthopoxvirus infections,0,0,0
1,Molluscum contagiosum,0,0,0
1,Exanthema subitum [sixth disease],0,0,0
1,Erythema infectiosum [fifth disease],2,0,2
1,Enteroviral vesicular stomatitis with exanthem,1,0,1
1,Enteroviral vesicular pharyngitis,0,0,0
1,Other specified viral infections characterized by skin and mucous membrane lesions,3,1,2
1,Unspecified viral infection characterized by skin and mucous membrane lesions,1,1,0
1,Acute hepatitis A,,,
1,Hepatitis A with hepatic coma,28,16,12
1,Hepatitis A without hepatic coma,483,274,209
1,Acute hepatitis B,,,
1,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,0,0,0
1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,1,0,1
1,Acute hepatitis B without delta-agent with hepatic coma,221,133,88
1,Acute hepatitis B without delta-agent and without hepatic coma,3704,2610,1094
1,Other acute viral hepatitis,,,
1,Acute delta-(super)infection of hepatitis B carrier,1,1,0
1,Acute hepatitis C,23516,15114,8402
1,Acute hepatitis E,5,3,2
1,Other specified acute viral hepatitis,27,13,14
1,"Acute viral hepatitis, unspecified",0,0,0
1,Chronic viral hepatitis,,,
1,Chronic viral hepatitis B with delta-agent,1,1,0
1,Chronic viral hepatitis B without delta-agent,650,448,202
1,Chronic viral hepatitis C,3122,1818,1304
1,Other chronic viral hepatitis,5,3,2
1,"Chronic viral hepatitis, unspecified",47,22,25
1,Unspecified viral hepatitis,,,
1,Unspecified viral hepatitis with hepatic coma,37,24,13
1,Unspecified viral hepatitis without hepatic coma,553,312,241
1,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,,,
1,HIV disease resulting in mycobacterial infection,1067,794,273
1,HIV disease resulting in other bacterial infections,6702,4704,1998
1,HIV disease resulting in cytomegaloviral disease,279,200,79
1,HIV disease resulting in other viral infections,4265,3419,846
1,HIV disease resulting in candidiasis,110,80,30
1,HIV disease resulting in other mycoses,1874,1473,401
1,HIV disease resulting in Pneumocystis jirovecii pneumonia,3246,2382,864
1,HIV disease resulting in multiple infections,7920,5777,2143
1,HIV disease resulting in other infectious and parasitic diseases,7599,5617,1982
1,HIV disease resulting in unspecified infectious or parasitic disease,107,73,34
1,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,,,
1,HIV disease resulting in Kaposi sarcoma,642,619,23
1,HIV disease resulting in Burkitt lymphoma,204,180,24
1,HIV disease resulting in other types of non-Hodgkin lymphoma,2676,2249,427
1,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",363,316,47
1,HIV disease resulting in multiple malignant neoplasms,228,200,28
1,HIV disease resulting in other malignant neoplasms,1418,1044,374
1,HIV disease resulting in unspecified malignant neoplasm,295,243,52
1,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,,,
1,HIV disease resulting in encephalopathy,1084,801,283
1,HIV disease resulting in lymphoid interstitial pneumonitis,0,0,0
1,HIV disease resulting in wasting syndrome,1378,1035,343
1,HIV disease resulting in multiple diseases classified elsewhere,6139,4937,1202
1,Human immunodeficiency virus [HIV] disease resulting in other conditions,,,
1,Acute HIV infection syndrome,1,0,1
1,HIV disease resulting in (persistent) generalized lymphadenopathy,5,5,0
1,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",1696,1193,503
1,HIV disease resulting in other specified conditions,17438,12519,4919
1,Unspecified human immunodeficiency virus [HIV] disease,17535,12925,4610
1,Cytomegaloviral disease,,,
1,Cytomegaloviral pneumonitis,261,143,118
1,Cytomegaloviral hepatitis,13,8,5
1,Cytomegaloviral pancreatitis,1,1,0
1,Other cytomegaloviral diseases,115,57,58
1,"Cytomegaloviral disease, unspecified",240,137,103
1,Mumps,,,
1,Mumps orchitis,0,0,0
1,Mumps meningitis,0,0,0
1,Mumps encephalitis,0,0,0
1,Mumps pancreatitis,0,0,0
1,Mumps with other complications,0,0,0
1,Mumps without complication,4,2,2
1,Infectious mononucleosis,,,
1,Gammaherpesviral mononucleosis,90,49,41
1,Cytomegaloviral mononucleosis,0,0,0
1,Other infectious mononucleosis,0,0,0
1,"Infectious mononucleosis, unspecified",36,20,16
1,Viral conjunctivitis,,,
1,Keratoconjunctivitis due to adenovirus,0,0,0
1,Conjunctivitis due to adenovirus,0,0,0
1,Viral pharyngoconjunctivitis,1,1,0
1,Acute epidemic haemorrhagic conjunctivitis (enteroviral),1,1,0
1,Other viral conjunctivitis,1,0,1
1,"Viral conjunctivitis, unspecified",0,0,0
1,"Other viral diseases, not elsewhere classified",,,
1,Epidemic myalgia,0,0,0
1,Ross River disease,0,0,0
1,Viral carditis,308,184,124
1,"Retrovirus infections, not elsewhere classified",42,15,27
1,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS],0,0,0
1,Other specified viral diseases,66,32,34
1,Viral infection of unspecified site,,,
1,"Adenovirus infection, unspecified site",63,39,24
1,"Enterovirus infection, unspecified site",34,20,14
1,"Coronavirus infection, unspecified site",0,0,0
1,"Parvovirus infection, unspecified site",6,3,3
1,"Papovavirus infection, unspecified site",1,0,1
1,Other viral infections of unspecified site,290,141,149
1,"Viral infection, unspecified",1705,720,985
1,Dermatophytosis,,,
1,Tinea barbae and tinea capitis,2,2,0
1,Tinea unguium,0,0,0
1,Tinea manuum,0,0,0
1,Tinea pedis,2,1,1
1,Tinea corporis,0,0,0
1,Tinea imbricata,0,0,0
1,Tinea cruris,1,0,1
1,Other dermatophytoses,1,0,1
1,"Dermatophytosis, unspecified",0,0,0
1,Other superficial mycoses,,,
1,Pityriasis versicolor,1,0,1
1,Tinea nigra,0,0,0
1,White piedra,0,0,0
1,Black piedra,0,0,0
1,Other specified superficial mycoses,0,0,0
1,"Superficial mycosis, unspecified",3,1,2
1,Candidiasis,,,
1,Candidal stomatitis,29,13,16
1,Pulmonary candidiasis,137,84,53
1,Candidiasis of skin and nail,6,0,6
